Master PCN,Name,Final_Subdivision_Name,Unified_Group_Name,Source,Renamed
642471008,WOODFIELD HUNT CLUB II,WOODFIELD HUNT CLUB,WOODFIELD HUNT CLUB,Grouped,True
642470314,WOODFIELD PLAZA,WOODFIELD PLAZA,WOODFIELD PLAZA,Grouped,False
642471509,WOODLANDS SEC 1 AMENDED PL,WOODLANDS SEC 1 AMENDED,WOODLANDS SEC 1,Grouped,True
642471516,WOODLANDS SEC TWO AMENDED,WOODLANDS SEC TWO AMENDED,WOODLANDS SEC TWO,Simple,True
643473049,RIDGEWOOD COND DECL FILED 9-16-81 IN,WOODLET COND DECL FILED,WOODLET COND FILED,Grouped,True
643471608,"YACHT & RACQUET CLUB OF BOCA RATON COND A,D,E,F,G,H & I IN  DECL IN OR2539P785,2796P923,",YACHT RACQUET CLUB OF,YACHT RACQUET CLUB,Grouped,True
643470501,YAMATO AMENDED PLAT NO 3 IN,YAMATO AMENDED PLAT NO,YAMATO AMENDED PLAT,Grouped,True
643470838,YAMATO CROSSING,YAMATO CROSSING,YAMATO CROSSING,Grouped,False
643470530,YAMATO TERRACE,YAMATO TERRACE,YAMATO TERRACE,Grouped,False
643470847,YAMATO VILLAS,YAMATO VILLAS,YAMATO VILLAS,Grouped,False
